job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/outside-sales-consultant-ie-at-system-pavers-3790264026,2024-01-19 11:10:26.100934+00,t,t,f,Outside Sales Consultant - IE,System Pavers,"Rancho Cucamonga, CA",2024-01-17,Fontana,United States,Ticket Broker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/distribution-center-safety-supervisor-at-racetrac-3788207119,2024-01-19 23:08:30.051762+00,t,t,f,Distribution Center Safety Supervisor,RaceTrac,"Cartersville, GA",2024-01-17,Georgia,United States,Supervisor Picking,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-cardiac-care-at-hca-healthcare-at-health-ecareers-3791515181,2024-01-20 01:22:41.94523+00,t,t,f,Registered Nurse- Cardiac Care at HCA Healthcare,Health eCareers,"Los Angeles, CA",2024-01-17,Simi Valley,United States,Ventilator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-covid19-coronavirus-at-ardor-health-solutions-3807789136,2024-01-19 09:45:09.215838+00,f,f,f,Travel Allied Health Professional - Ultrasound Technologist - COVID19 - coronavirus,Ardor Health Solutions,"Amsterdam, NY",2024-01-17,Rotterdam,United States,Ultrasound Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/metro-on-premise-sales-consultant-mn-at-southern-glazer-s-wine-spirits-3801137399,2024-01-19 23:59:33.495754+00,t,t,f,"Metro On-Premise Sales Consultant, MN",Southern Glazer's Wine & Spirits,"Minneapolis, MN",2024-01-17,South Saint Paul,United States,Ticket Broker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/web-technologist-technical-program-manager-at-soho-square-solutions-3795806512,2024-01-20 15:08:48.357893+00,t,t,f,Web Technologist/ Technical Program Manager,Soho Square Solutions,"New York, United States",2024-01-17,Hamilton,United States,Technical Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/manager-hr-systems-at-american-heart-association-3789911809,2024-01-21 16:25:19.441873+00,t,t,f,"Manager, HR Systems",American Heart Association,"Columbus, OH",2024-01-17,Columbus,United States,Supervisor Vendor Quality,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ultrasound-technologist-at-cross-country-allied-3807274006,2024-01-19 23:08:26.435359+00,t,t,f,Travel Allied Health Professional - Ultrasound Technologist,Cross Country Allied,"Roswell, NM",2024-01-17,New Mexico,United States,Ultrasound Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/xfinity-retail-sales-consultant-part-time-at-xfinity-store-by-comcast-3798673927,2024-01-20 02:05:48.292128+00,t,t,f,Xfinity Retail Sales Consultant - Part Time,XFINITY Store by Comcast,"Vermont, United States",2024-01-17,Vermont,United States,Ticket Broker,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/capital-allowances-tax-manager-at-ey-3749561474,2024-01-20 15:08:09.637737+00,t,t,f,Capital Allowances Tax Manager,EY,"London, England, United Kingdom",2024-01-17,Basildon,United Kingdom,Supervisor Vendor Quality,Mid senior,Onsite
https://www.linkedin.com/jobs/view/xray-technologist-rad-xray-technologist-rt-r-at-cross-country-allied-3800513691,2024-01-20 15:08:06.272453+00,t,t,f,Xray Technologist - RAD / Xray Technologist - RT(R),Cross Country Allied,"Anchorage, AK",2024-01-17,Alaska,United States,Ultrasound Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/teacher-grade-4-sy-23-24-at-metro-nashville-public-schools-3806588955,2024-01-20 00:00:32.443798+00,t,t,f,Teacher Grade 4 - SY 23-24,Metro Nashville Public Schools,Nashville Metropolitan Area,2024-01-17,Tennessee,United States,Teacher Music,Mid senior,Onsite
https://www.linkedin.com/jobs/view/county-caseworker-2-local-government-somerset-county-mh-id-multiple-vacancies-at-commonwealth-of-pennsylvania-3804768702,2024-01-19 09:45:09.215838+00,f,f,f,County Caseworker 2 (Local Government) - Somerset County MH/ID (Multiple Vacancies),Commonwealth of Pennsylvania,"Somerset County, PA",2024-01-17,Central City,United States,Weed Inspector,Mid senior,Onsite
https://www.linkedin.com/jobs/view/wireless-sales-consultant-at-wireless-nation-3786396851,2024-01-19 09:45:09.215838+00,f,f,f,Wireless Sales Consultant,Wireless Nation,"Carbondale, PA",2024-01-17,Pennsylvania,United States,Ticket Broker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/client-sales-consultant-at-paylocity-3739110424,2024-01-19 09:45:09.215838+00,f,f,f,Client Sales Consultant,Paylocity,"Meridian, ID",2024-01-17,Idaho,United States,Ticket Broker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/principal-network-engineer-2-%E2%80%93-routing-switching-wireless-at-western-alliance-bank-3790087532,2024-01-19 14:48:49.690289+00,t,t,f,Principal Network Engineer 2 – Routing/Switching/Wireless,Western Alliance Bank,"Columbus, OH",2024-01-17,Truro,United States,Telecommunicator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/full-time-fulfillment-team-lead-day-at-lowe-s-companies-inc-3807230079,2024-01-19 13:11:06.025719+00,t,t,f,Full Time - Fulfillment Team Lead - Day,"Lowe's Companies, Inc.","Lewes, DE",2024-01-17,Lewes,United States,Supervisor Picking,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sales-advisor-offshore-at-office-depot-3774475623,2024-01-19 09:45:09.215838+00,f,f,f,Sales Advisor - Offshore,Office Depot,"Fairbanks, AK",2024-01-17,Alaska,United States,Ticket Broker,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/senior-cost-manager-at-turner-townsend-3791298251,2024-01-20 15:07:59.738349+00,t,t,f,Senior Cost Manager,Turner & Townsend,"Liverpool, England, United Kingdom",2024-01-17,Liverpool,United Kingdom,Turner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/inhouse-anwendungsbetreuer-sap-fi-co-customizing-i-bis-80-000-%E2%82%AC-bis-50%25-home-office-mwd-at-vesterling-ag-3700104134,2024-01-21 06:23:15.219877+00,t,t,f,"Inhouse Anwendungsbetreuer SAP FI/CO | Customizing I bis 80.000 €, bis 50% Home-Office (mwd)",Vesterling AG,"Home, KS",2024-01-17,Kansas,United States,User Support Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/bar-manager-at-piatt-companies-3802279307,2024-01-20 01:56:12.545403+00,t,t,f,Bar Manager,Piatt Companies,"Pittsburgh, PA",2024-01-17,Aliquippa,United States,Supervisor Properties,Mid senior,Onsite
https://www.linkedin.com/jobs/view/store-manager-at-viaero-wireless-3793042573,2024-01-19 09:45:09.215838+00,f,f,f,Store Manager,Viaero Wireless,"Burlington, CO",2024-01-17,Colorado,United States,Supervisor Tower,Mid senior,Onsite
https://www.linkedin.com/jobs/view/category-manager-director-at-jobs-for-humanity-3805391325,2024-01-19 09:45:09.215838+00,f,f,f,"Category Manager, Director",Jobs for Humanity,"Hartford, CT",2024-01-17,New Britain,United States,Supervisor Vendor Quality,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-cardiovascular-icu-prn-tier-2-at-wellspan-health-at-health-ecareers-3801755626,2024-01-20 15:08:18.284528+00,t,t,f,Registered Nurse - Cardiovascular/ICU - PRN Tier 2 at WellSpan Health,Health eCareers,"Lebanon, PA",2024-01-17,Lebanon,United States,Ventilator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/elementary-special-education-teacher-1-2-time-or-full-time-at-trulyhired-3802051851,2024-01-21 16:50:25.931111+00,t,t,f,Elementary Special Education Teacher (1/2 time or full time),TrulyHired,"Addison, MI",2024-01-17,Michigan,United States,Teacher Music,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ultrasound-technologist-echo-at-advanced-cardiovascular-specialists-3800851994,2024-01-19 15:57:17.948729+00,t,t,f,Ultrasound Technologist/ECHO,Advanced Cardiovascular Specialists,"Henderson, NV",2024-01-17,Enterprise,United States,Ultrasound Technologist,Mid senior,Onsite
https://au.linkedin.com/jobs/view/senior-property-manager-at-people-group-3799478133,2024-01-19 09:45:09.215838+00,f,f,f,Senior Property Manager,People Group,"Brisbane, Queensland, Australia",2024-01-17,Queensland,Australia,Supervisor Properties,Mid senior,Onsite
https://www.linkedin.com/jobs/view/administrative-assistant-iii-at-dice-3807705395,2024-01-19 21:10:08.552496+00,t,t,f,Administrative Assistant III,Dice,"Marlborough, MA",2024-01-17,Lowell,United States,Tourist-Information Assistant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-mep-project-manager-at-the-liro-group-3793612782,2024-01-20 13:39:39.144265+00,t,t,f,Senior MEP Project Manager,The LiRo Group,"Syosset, NY",2024-01-17,Oyster Bay,United States,Utilization Engineer,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/team-leader-warehouse-at-alliance-healthcare-3806316415,2024-01-19 09:45:09.215838+00,f,f,f,Team Leader - Warehouse,Alliance Healthcare,"Leeds, England, United Kingdom",2024-01-17,York,United Kingdom,Warehouse Supervisor,Mid senior,Onsite
